basic_date,close_value
11/29/2005,443500
11/30/2005,451000
12/02/2005,465000
12/05/2005,470500
12/06/2005,472000
12/07/2005,476500
12/08/2005,477000
12/09/2005,469000
12/12/2005,470000
12/14/2005,465000
12/15/2005,461500
12/16/2005,457000
12/19/2005,471000
12/20/2005,470000
12/21/2005,477000
12/22/2005,481500
12/23/2005,487500
12/26/2005,491500
12/27/2005,493000
12/28/2005,488000
12/29/2005,491000
01/02/2006,491000
01/03/2006,493500
01/04/2006,508000
01/05/2006,500000
01/06/2006,505000
01/09/2006,507000
01/10/2006,515000
01/11/2006,511000
01/12/2006,521000
01/13/2006,522000
01/16/2006,538000
01/17/2006,535000
01/18/2006,515000
01/19/2006,522000
01/20/2006,524000
01/23/2006,510000
01/24/2006,515000
01/25/2006,536000
01/26/2006,539000
01/31/2006,566000
02/01/2006,560000
02/02/2006,547000
02/03/2006,525000
02/06/2006,526000
02/07/2006,523000
02/08/2006,511000
02/09/2006,518000
02/10/2006,514000
02/13/2006,516000
02/14/2006,515000
02/15/2006,497000
02/16/2006,504000
02/17/2006,532000
02/20/2006,540000
02/21/2006,533000
02/22/2006,532000
02/23/2006,539000
02/24/2006,530000
02/27/2006,525000
02/28/2006,520000
03/02/2006,522000
03/03/2006,510000
03/06/2006,512000
03/07/2006,498000
03/08/2006,495000
03/09/2006,490000
03/10/2006,493000
03/13/2006,497000
03/14/2006,498000
03/15/2006,493000
03/16/2006,506000
03/17/2006,508000
03/20/2006,503000
03/21/2006,497000
03/22/2006,481500
03/23/2006,484000
03/24/2006,482000
03/27/2006,485000
03/28/2006,481500
03/29/2006,482500
03/30/2006,488000
03/31/2006,497500
04/03/2006,510000
04/04/2006,532000
04/05/2006,525000
04/06/2006,525000
04/07/2006,519000
04/10/2006,507000
04/11/2006,503000
04/12/2006,499000
04/13/2006,498500
04/14/2006,520000
04/17/2006,520000
04/18/2006,517000
04/19/2006,524000
04/20/2006,523000
04/21/2006,540000
04/24/2006,534000
04/25/2006,530000
04/26/2006,528000
04/27/2006,519000
04/28/2006,511000
05/02/2006,545000
05/03/2006,520000
05/04/2006,525000
05/08/2006,528000
05/09/2006,531000
05/10/2006,529000
05/11/2006,530000
05/12/2006,528000
05/15/2006,525000
05/16/2006,516000
05/17/2006,523000
05/18/2006,511000
05/19/2006,504000
05/22/2006,495000
05/23/2006,493500
05/24/2006,493000
05/25/2006,471500
05/26/2006,467000
05/29/2006,467000
05/30/2006,465000
06/01/2006,456500
06/02/2006,457500
06/05/2006,459500
06/07/2006,444000
06/08/2006,422000
06/09/2006,423500
06/12/2006,422000
06/13/2006,412000
06/14/2006,412000
06/15/2006,411500
06/16/2006,431500
06/19/2006,440000
06/20/2006,429000
06/21/2006,429000
06/22/2006,434000
06/23/2006,445000
06/26/2006,450000
06/27/2006,454000
06/28/2006,449500
06/29/2006,449500
06/30/2006,463000
07/03/2006,467000
07/04/2006,466000
07/05/2006,461000
07/06/2006,460000
07/07/2006,460000
07/10/2006,463500
07/11/2006,459000
07/12/2006,458500
07/13/2006,441000
07/14/2006,427500
07/18/2006,424500
07/19/2006,421500
07/20/2006,442500
07/21/2006,441000
07/24/2006,443500
07/25/2006,451000
07/26/2006,453000
07/27/2006,452500
07/28/2006,447000
07/31/2006,454500
08/01/2006,451500
08/02/2006,459000
08/03/2006,462000
08/04/2006,462000
08/07/2006,456000
08/08/2006,460000
08/09/2006,461000
08/10/2006,465000
08/11/2006,456000
08/14/2006,453500
08/16/2006,468500
08/17/2006,484000
08/18/2006,496500
08/21/2006,492500
08/22/2006,496500
08/23/2006,489000
08/24/2006,485000
08/25/2006,490500
08/28/2006,496000
08/29/2006,503000
08/30/2006,500000
08/31/2006,500000
09/01/2006,503000
09/04/2006,500000
09/05/2006,500000
09/06/2006,497000
09/07/2006,497000
09/08/2006,492500
09/11/2006,483000
09/12/2006,483000
09/13/2006,489500
09/14/2006,494000
09/15/2006,494000
09/18/2006,507000
09/19/2006,504000
09/20/2006,501000
09/21/2006,499500
09/22/2006,493000
09/25/2006,488500
09/26/2006,489500
09/27/2006,496500
09/28/2006,498500
09/29/2006,497000
10/02/2006,500000
10/04/2006,495000
10/09/2006,488000
10/10/2006,486000
10/11/2006,485000
10/12/2006,482000
10/13/2006,484000
10/16/2006,484500
10/17/2006,485500
10/18/2006,479000
10/19/2006,473500
10/20/2006,467000
10/23/2006,472000
10/24/2006,466000
10/25/2006,465000
10/26/2006,468500
10/27/2006,464000
10/30/2006,454500
10/31/2006,457000
11/01/2006,459000
11/02/2006,460000
11/03/2006,454500
11/06/2006,449000
11/07/2006,454000
11/08/2006,462000
11/09/2006,469500
11/10/2006,470000
11/13/2006,479000
11/14/2006,486000
11/15/2006,491000
11/16/2006,494000
11/17/2006,489500
11/20/2006,495500
11/21/2006,500000
11/22/2006,501000
11/23/2006,499500
11/24/2006,498000
11/27/2006,497000
