도서관명,열람좌석수
주천공공도서관,17
옥천군민도서관,102
용답동어린이작은도서관,20
송정동늘푸른작은도서관,6
성수2가제3동작은도서관,14
성수2가제1동어린이작은도서관,30
성수1가제2동어린이작은도서관,16
성수1가제1동작은도서관,20
옥수동북카페,5
금호4가동어린이작은도서관,20
"금호2,3가동어린이작은도서관",15
금호1가동우리동네북카페책단지꿀단지,28
응봉동어린이작은도서관,18
행당제2동어린이작은도서관,40
사근동어린이놀이터도서관,20
마장동작은도서관,20
왕십리제2동작은도서관,7
왕십리도선동희망문고,35
성동구립청계도서관,285
성동구립성수도서관,214
성동구립무지개도서관,130
성동구립용답도서관,250
성동구립금호도서관,204
성동구립도서관,702
성동자활센터푸른하늘공부방청소년작은도서관,30
원통도서관,104
기린도서관,54
서화도서관,54
도림동공립작은도서관,30
당산2동공립작은도서관,10
당산1동공립작은도서관,22
여의동공립작은도서관,20
영등포동공립작은도서관,30
신길2동(분소)공립작은도서관,8
영등포본동공립작은도서관,8
영등포구지부공립작은도서관,46
여의디지털도서관,70
선유정보문화도서관,204
문래정보문화도서관,225
대림정보문화도서관,188
목화마을공립작은도서관,24
대림3동공립작은도서관,19
대림2동공립작은도서관,16
대림1동공립작은도서관,24
신길7동공립작은도서관,18
신길6동공립작은도서관,30
신길5동공립작은도서관,14
신길4동공립작은도서관,10
신길3동공립작은도서관,12
신길1동공립작은도서관,25
양평2동공립작은도서관,6
양평1동공립작은도서관,8
문래동공립작은도서관,50
도봉어린이문화정보도서관(디지털자료실),8
"도봉어린이문화정보센터(자료열람실, 잉글리시 아일랜드)",67
학마을도서관 (종합자료실),36
학마을도서관 (어린이 자료실),0
방학동영유아플라자,0
창동영유아플라자,0
무수골 도서관,12
방학1동 공립 작은도서관,13
방학2동 공립 작은도서관,6
방학3동 공립 작은도서관,26
도봉1동 공립 작은도서관,2
도봉2동 공립 작은도서관,12
쌍문1동 공립 작은도서관,6
쌍문2동 공립 작은도서관,12
쌍문3동 공립 작은도서관,10
쌍문4동 공립 작은도서관,18
창1동 공립 작은도서관,12
창2동 공립 작은도서관,2
창3동 공립 작은도서관,16
창4동 공립 작은도서관,0
창5동 공립 작은도서관,42
북서울중학교 도서관,0
창북중학교 도서관,0
도봉구청사 행복작은도서관,21
서울특별시교육청도봉도서관(종합자료실),78
서울특별시교육청도봉도서관(어린이자료실),61
서울특별시교육청도봉도서관(디지털자료실),56
도봉문화정보도서관(종합자료실),80
도봉문화정보도서관(어린이열람실),48
도봉어린이문화정보도서관(영 유아),50
도봉 기적의 도서관,0
영암도서관,387
삼호도서관,387
울산중부도서관,342
울산남부도서관,1405
울산동부도서관,683
울주도서관,500
신탄진평생학습도서관,1200
안산평생학습도서관,650
송촌평생학습도서관,530
해남군립도서관,372
달성군립도서관,202
화원읍작은도서관,70
논공읍작은도서관,25
다사읍서재작은도서관,54
가창면참꽃작은도서관,32
하빈면작은도서관,61
옥포면작은도서관,43
유가면작은도서관,51
구지면작은도서관,30
다사읍작은도서관,64
청소년센터 작은도서관,67
달성군청도서관,72
동래읍성도서관,196
안락누리도서관,200
의령도서관,267
남해화전도서관,170
가평설악도서관,97
가평청평도서관,207
가평조종도서관,150
가평한석봉도서관,547
장성군립중앙도서관,185
장성군립삼계도서관,145
장성군립북이도서관,70
평촌도서관,834
비산도서관,724
호계도서관,642
어린이도서관,770
벌말도서관,130
관양도서관,640
한라도서관,332
우당도서관,1290
제주시기적의도서관,150
조천읍도서관,160
탐라도서관,1280
애월도서관,155
한경도서관,124
서귀포시삼매봉도서관,263
서귀포시중앙도서관,860
서귀포시동부도서관,208
서귀포시서부도서관,242
서귀포기적의도서관,280
안덕산방도서관,150
표선도서관,154
성산일출도서관,190
제주도서관,515
서귀포학생문화원도서관,432
한수풀도서관,181
동녘도서관,157
송악도서관,174
제남도서관,176
양구교육도서관,68
의창도서관,718
고향의봄도서관,496
명곡도서관,700
성산도서관,573
상남도서관,513
마산합포도서관,582
마산회원도서관,404
내서도서관,222
중리초등복합시설도서관,200
진해도서관,431
동부도서관,459
동읍평생교육센터,30
대산평생교육센터,82
소계평생교육센터,14
의창평생교육센터,34
천주평생교육센터,30
대원평생교육센터,33
팔룡평생교육센터,13
명곡평생교육센터,20
명서1평생교육센터,30
명서2평생교육센터,30
봉곡평생교육센터,38
봉림평생교육센터,30
사림평생교육센터,45
신월평생교육센터,30
용지평생교육센터,50
반지평생교육센터,20
